label,melody
1,0 1 2 84 10 2 84 37 19 73 25 30 21 44 77 14 2 84 18 2 84 24 56 44 25 26 4 73 77 0 1 2 84 10 2 84 37 21 43 27 11 19 73 27 30 19 12 6 14 2 84 32 72 22 27 15 56 12 27 33 52 22 9 18 2 84 24 52 79 27 20 72 35 31 26 21 79 77 0 1 2 84 10 2 84 11 62 17 27 11 62 73 27 30 56 44 6 14 2 84 32 56 44 31 33 52 44 31 18 2 84 18 19 73 31 24 52 44 31 26 21 54 6 0 1 2 84 28 21 54 31 29 52 44 31 10 2 84 10 21 73 31 37 19 43 31 30 19 17 31 14 2 84 14 56 12 31 32 19 17 31 33 19 43 6 18 2 84 24 56 73 27 24 19 43 31 26 19 17 112 0 1 2 84 10 2 84 10 19 73 31 37 52 44 31 30 52 54 6 14 2 84 32 56 54 31 33 21 44 9 18 2 84 24 52 44 31 26 52 73 64 0 1 2 84 10 2 84 10 21 73 31 37 21 44 31 30 56 54 9 14 2 84 32 19 54 9 18 2 84 18 21 44 31 24 56 54 31 26 56 73 64 0 1 2 84 10 41 17 31 37 19 17 31 30 52 43 9 32 19 43 23 24 21 17 31 26 19 43 9 0 28 19 17 25 29 52 12 9 37 56 22 31 30 19 17 6 32 21 17 31 33 21 17 31 18 21 43 25 24 52 54 9
1,0 1 75 237 1 41 36 31 28 41 86 31 7 41 8 31 29 41 53 31 37 41 45 31 30 34 86 13 30 34 53 13 33 41 86 31 33 41 53 31 24 34 36 31 24 34 17 31 26 41 38 31 26 41 5 31 0 28 34 91 31 28 34 63 31 29 68 38 25 29 68 5 25 37 41 36 31 37 41 17 31 30 4 36 27 14 21 17 27 14 21 36 27 15 19 17 27 15 19 36 27 33 4 17 27 33 4 36 27 18 16 17 27 18 16 36 27 24 16 17 27 20 16 36 27 20 16 17 27 26 16 36 27 26 4 17 27 0 1 16 36 27 28 16 17 27 28 4 36 27 7 4 17 27 7 4 36 27 29 41 53 31 37 41 45 31 30 34 86 13 30 34 53 13 33 41 86 31 33 41 53 31 24 34 36 31 24 34 17 31 26 41 38 31 26 41 5 31 0 28 34 91 31 28 34 63 31 29 68 38 25 29 68 5 25 37 41 36 31 37 41 17 31 30 4 38 27 14 21 5 27 14 21 38 27 15 19 5 27 15 19 38 27 33 4 5 27 33 4 38 27 18 16 5 27 18 16 38 27 24 16 5 27 20 16 38 27 20 16 5 27 26 16 38 27 26 68 53 31 0 1 41 45 31 28 41 57 25 7 41 47 31 29 68 50 112 32 16 57 9 33 68 47 23 0 28 41 45 6 29 41 53 6 37 68 50 6 30 41 47 31 14 68 57 31 32 34 45 9 33 60 57 61
1,0 20 52 92 31 26 16 86 27 0 1 67 79 25 37 67 79 25 14 19 92 13 33 41 149 9 24 60 79 9 0 1 4 86 9 29 16 92 25 37 41 40 6 14 19 91 49 18 21 91 31 20 19 38 25 0 1 66 40 6 29 19 40 25 37 67 92 9 14 68 38 6 33 41 91 25 24 71 149 9 0 29 4 40 25 37 78 38 9 30 41 91 49
1,0 1 2 144 28 66 36 23 10 2 144 37 71 17 105 14 2 144 18 2 144 0 1 2 144 29 60 5 27 10 2 144 10 34 63 27 37 68 22 49 14 2 144 33 41 22 31 18 2 144 18 34 79 31 24 68 36 108 0 1 2 144 10 2 144 10 60 36 27 37 34 8 112 14 2 144 33 60 22 31 18 2 144 18 60 63 31 24 66 22 23 0 1 2 144 28 71 17 23 10 2 144 37 68 22 97 14 2 144 0 28 34 36 46 28 60 86 46 37 60 63 119 37 60 17 124 0 29 16 22 31 29 34 5 31 10 41 8 31 10 60 63 31 37 41 79 77 37 60 22 77 33 34 79 31 33 34 22 31 18 34 36 31 18 16 79 27 24 41 39 77 24 68 36 77 0 10 68 102 31 10 68 36 31 37 16 85 25 37 16 8 25 11 41 39 25 11 41 22 25 30 16 91 6 30 16 63 6 32 41 39 25 32 41 22 25 15 60 85 25 15 60 8 25 33 34 135 25 33 34 86 25 24 34 91 25 24 34 63 25 20 34 38 31 20 34 5 31 26 41 36 31 26 41 17 31 0 28 34 92 31 28 34 51 31 7 34 36 31 7 34 17 31 29 34 38 31 29 34 5 31 37 34 36 95 37 34 17 95 0 37 60 22 101 37 60 44 101 20 34 22 25 26 68 12 31 26 60 42 31
1,0 1 2 143 28 19 42 31 7 41 17 6 10 16 42 6 11 60 22 9 14 16 35 6 15 60 79 77 0 7 60 17 6 10 19 42 6 11 41 22 6 14 4 35 6 15 19 79 77 20 60 22 6 0 1 16 43 31 28 19 73 27 7 34 73 6 10 34 43 25 11 16 43 6 14 19 17 6 15 68 12 6 18 41 22 25 20 60 22 6 0 1 41 79 9 7 34 80 6 10 34 36 6 11 60 35 6 14 16 22 6 15 41 79 23 20 4 35 46 0 28 16 36 97
1,0 1 2 120 1 19 47 25 7 56 57 27 7 56 47 31 29 52 47 97 10 2 120 14 2 120 18 2 120 20 41 57 31 26 21 59 31 0 1 2 107 1 66 43 6 7 66 51 31 29 16 43 31 10 2 107 10 60 59 31 37 67 70 6 30 69 48 31 14 2 107 14 67 128 13 15 34 70 13 18 2 107 24 66 59 25 26 4 57 31 0 1 2 107 1 60 57 27 1 41 47 25 7 52 57 27 7 60 47 13 10 2 107 37 74 128 6 30 69 147 31 14 2 107 14 71 129 119 18 2 120 0 1 2 120 10 2 120 37 67 128 27 11 67 50 31 30 68 70 31 14 2 120 14 74 128 31 32 4 136 31 15 52 129 31 33 41 148 6 18 2 120 24 69 147 112 0 1 2 120 29 66 51 31 10 2 120 10 16 5 31 10 41 42 31 37 16 17 31 11 34 51 31 30 62 65 27 30 21 63 27 14 2 120 14 52 12 27 14 41 5 27 32 72 92 31 32 72 86 31 15 56 79 31 33 16 8 6 18 2 120 18 4 8 31 20 52 92 27 20 19 38 27 26 60 92 49 0 1 2 120 29 4 86 31 10 2 120 10 60 80 27 10 4 91 6 11 16 149 27 11 41 91 25 14 2 120 14 66 149 23 15 41 150 23 18 2 120 24 56 149 27 20 19 91 31 20 19 80 27 26 21 38 27 26 60 36 27 0 1 2 107 1 41 92 25 7 52 92 27 7 52 86 27 29 21 8 27 10 2 107 10 60 22 27 10 56 63 13 30 19 65 27 30 19 86 27 14 2 107 14 41 5 31 32 71 5 46 18 2 107 24 71 63 13 26 41 65 58
1,0 1 2 155 1 21 12 113 15 19 42 31 33 52 51 31 18 16 43 25 20 21 51 6 0 1 68 73 64 11 19 43 31 30 56 51 31 14 19 12 46 24 56 42 31 20 52 51 31 26 16 43 27 0 1 60 73 25 7 21 12 108 26 52 73 27 26 71 43 27 26 41 51 27 26 19 42 27 26 41 63 27 0 1 4 65 27 1 34 35 6 7 34 8 6 10 16 42 6 37 19 12 125
1,0 30 69 22 154 0 29 69 63 25 37 71 22 6 30 69 8 46 0 29 66 63 9 11 60 22 31 30 71 8 101 0 29 78 63 6 11 66 22 31 30 60 8 25 32 68 22 6 33 68 38 139 0 30 71 22 105 0 29 71 63 25 37 66 22 6 30 68 8 108 0 30 69 8 61 26 68 86 46 0 29 68 86 6 37 66 38 6 30 68 5 112 26 66 63 88
1,0 1 2 130 28 16 35 31 7 34 12 27 29 60 5 31 10 41 17 27 37 67 45 31 11 66 43 23 18 16 53 27 24 21 22 88 0 10 21 12 31 37 19 5 31 11 68 17 88 18 16 45 31 24 60 12 61 0 15 66 35 31 33 4 86 27 18 68 8 27 18 4 22 31 24 66 12 31 20 4 5 31 26 19 17 27 0 1 4 43 31 28 19 53 31 28 16 45 23 37 21 53 27 37 19 43 27 11 21 17 108 18 60 43 31 18 21 5 61
1,0 1 2 162 28 69 86 25 29 90 8 97 24 90 8 31 26 74 8 25 0 28 74 86 31 7 34 92 31 29 90 86 81 0 28 74 38 31 7 16 92 31 29 74 36 77 26 66 91 23 0 29 74 85 46 32 66 80 31 15 66 36 31 33 66 8 31 18 68 86 31 24 69 36 31 26 69 86 31 0 1 16 92 31 28 69 36 31 7 71 38 31 29 66 92 46 26 71 92 25 0 28 69 86 25 7 71 8 31 29 90 86 97 26 68 92 9 0 28 56 36 31 7 19 92 31 29 68 36 88 26 69 91 46 0 7 90 38 113
1,0 1 2 161 28 69 5 25 30 69 63 31 14 67 22 31 32 71 86 31 15 60 38 25 0 29 34 17 27 10 66 45 31 37 67 17 27 11 71 44 31 30 68 17 31 14 74 57 25 15 71 44 6 18 67 45 6 24 71 53 25 26 69 45 6 0 14 78 45 25 32 60 53 31 15 34 51 31 18 71 53 31 24 68 51 31 20 66 17 31 26 67 51 31 0 1 66 5 31 28 60 17 27 28 34 53 27 7 41 17 31 37 68 5 27 11 68 63 27 30 78 5 27 30 78 5 31 20 4 53 27 26 34 45 27 26 66 57 27 0 1 34 47 13 10 71 57 31 37 78 44 27 11 71 53 27 30 78 5 31 18 69 17 6 20 4 53 27 26 19 17 27 26 60 5 27 0 1 67 17 31 7 68 63 27 7 16 22 27 29 66 8 27 29 69 63 25 37 68 5 31 11 34 17 27 30 16 5 27 30 34 63 25 32 34 8 27 15 34 86 27 15 34 36 27 33 78 86 27 33 67 8 31 24 69 86 31 20 78 8 31 26 69 92 31 0 1 60 36 31 28 71 92 27 7 68 86 31 29 67 8 31 29 69 22 31 37 71 63 31 11 60 22 27 11 66 63 31 30 71 8 31 14 78 22 31 32 66 63 27 32 67 5 27 15 71 17 27 33 69 51 27 33 69 51 27 18 68 51 27 24 71 53 27 24 67 45 27 20 69 44 27 26 69 57 27 26 69 47 27 26 74 50 9
1,0 1 2 107 26 41 100 154 26 68 42 25 0 1 41 79 25 28 34 65 31 7 78 42 25 29 34 79 9 11 60 65 6 14 34 79 25 32 68 42 49 33 4 135 64 26 34 158 105 26 66 42 31 0 1 34 79 25 28 34 65 25 7 68 42 31 29 34 79 9 11 34 65 23 14 41 79 25 32 68 42 112 33 34 166 46 26 34 187 122 26 68 42 31 0 1 41 79 31 28 41 65 31 7 78 42 31 29 34 79 9 37 41 65 25 11 60 42 23 30 41 79 108 24 16 65 6 20 16 79 31 26 41 166 122 26 60 42 25 0 1 16 79 25 28 41 65 6 7 60 42 13 10 4 79 25 37 41 65 77 37 60 42 61
1,0 1 2 120 37 71 57 58 0 28 90 128 46 37 78 59 118 0 28 74 128 46 37 78 73 118 0 28 90 59 46 37 78 57 61 33 4 53 27 18 21 51 27 18 34 42 27 24 60 63 108 0 28 69 51 46 10 66 53 122
1,0 1 75 93 28 68 92 6 29 34 79 6 10 75 93 37 66 65 25 30 68 63 64 14 75 93 33 60 65 6 18 75 93 24 34 79 46 0 1 75 93 28 68 92 46 10 75 93 37 60 63 105 14 75 93 18 75 93 0 1 75 93 29 34 65 6 10 75 93 37 34 63 6 30 60 12 46 14 75 93 33 34 63 6 18 75 93 24 34 65 46 0 1 75 93 28 60 12 64 10 75 93 37 60 63 58 14 75 93 18 75 93 0 1 75 93 10 75 93 30 34 65 112 14 75 93 18 75 93 24 41 79 9 26 67 65 64 0 1 75 93 29 41 79 6 10 75 93 37 60 92 81 14 75 93 18 75 93 0 1 75 93 29 34 149 25 10 75 93 37 34 91 25 30 66 86 112 14 75 93 18 75 93 24 60 92 25 26 34 86 23 0 1 75 93 29 34 79 25 10 75 93 37 34 86 121 14 75 93 18 75 93 0 1 75 93 10 75 93 30 41 63 13 14 75 93 33 41 65 25 18 75 93 24 41 79 13 0 1 75 93 28 34 92 13 10 75 93 37 41 63 97 14 75 93 18 75 93 0 1 75 93 28 16 65 25 29 41 65 25 10 75 93 37 41 63 25 30 41 12 13 14 75 93 33 41 63 6 18 75 93 24 41 65 77 0 1 75 93 29 41 12 6 10 75 93 37 41 63 58 14 75 93 18 75 93 0 1 75 93 10 75 93 30 60 65 49 14 75 93 18 75 93 24 34 79 25 26 60 65 13 0 1 75 93 29 60 79 6 10 75 93 37 66 92 125 14 75 93 18 75 93 0 1 75 93 29 60 92 31 10 75 93 37 60 92 25 30 60 86 112 14 75 93 18 75 93 24 60 92 25 26 34 86 23 0 1 75 93 7 66 92 31 10 75 93 14 75 93 18 75 93
1,0 1 75 103 30 71 5 27 14 67 17 27 32 69 53 27 15 71 45 27 33 71 44 27 24 71 53 31 26 69 17 25 0 28 71 45 77 33 71 45 25 24 71 43 31 26 71 5 31 0 28 69 53 64 30 71 5 27 14 71 17 27 32 71 53 27 15 71 45 27 33 67 44 27 24 71 53 25 26 71 17 31 0 28 71 45 13 37 71 5 31 30 71 45 31 14 69 53 88
1,0 1 2 138 28 66 39 6 29 78 38 49 32 90 38 25 33 71 38 9 26 78 36 25 0 28 78 35 6 29 71 36 6 37 34 38 25 30 60 38 108 26 78 38 6 0 28 66 36 25 29 69 35 23 32 90 36 6 33 66 38 6 24 71 35 25 26 66 8 31 0 28 71 8 25 29 78 8 77 26 66 35 6 0 28 66 8 25 29 68 8 46 32 69 35 31 33 66 35 13 26 71 36 6 0 28 68 38 6 29 69 36 6 37 60 35 6 30 68 39 25 32 68 39 112 26 78 39 25 0 28 60 38 25 29 66 36 49 14 66 35 6 33 66 36 9 24 68 38 25 26 68 38 25 0 28 68 36 6 29 78 38 89 26 71 35 23 0 29 69 22 46 30 71 8 13 15 90 17 46
1,0 1 75 103 37 90 79 6 30 69 22 31 32 90 12 13 24 90 12 6 0 1 74 12 27 28 66 12 25 29 69 22 25 37 90 79 31 11 41 35 31 30 68 36 25 32 90 79 23 33 90 22 112 0 29 90 35 27 37 90 36 27 30 69 39 6 32 66 80 23 24 69 80 6 0 1 66 39 31 28 66 80 25 29 69 36 31 37 71 35 31 11 34 36 31 30 78 35 25 32 74 79 46 0 28 90 12 6 29 66 22 31 37 74 79 25 30 71 36 25 32 66 80 25 33 90 79 27 24 90 22 6 26 90 12 31 0 28 90 17 27 29 68 12 27 10 74 17 27 11 68 12 27 30 90 17 27 32 90 43 23 24 74 43 9 0 28 90 43 6 37 90 43 31 11 34 17 31 30 66 12 27 32 71 12 46 24 74 12 25 0 1 90 12 27 28 90 12 31 29 90 22 6 37 90 35 25 30 69 36 25 32 90 35 64 26 78 36 25 0 28 66 80 6 29 69 36 25 37 66 35 6 30 78 36 31 32 90 36 113 26 78 39 31 0 28 69 80 25 29 68 39 25
1,0 1 2 143 28 4 17 31 29 41 43 49 32 72 42 27 15 16 73 25 33 41 43 49 0 1 78 22 6 7 4 12 25 29 68 42 49 32 114 22 27 32 34 17 31 33 4 42 64 0 1 66 22 6 7 19 65 31 29 4 79 64 32 21 65 31 15 60 22 25 33 41 35 77 0 7 34 22 31 29 16 36 64 15 74 42 23 24 71 12 46 0 7 60 42 31 29 41 17 31 10 60 43 46 32 66 44 31 15 56 59 25 33 41 43 64 0 1 60 42 31 28 60 17 25 7 16 42 27 29 68 17 27 10 60 43 6 37 68 73 27 11 41 43 25 30 60 17 27 14 60 43 31 32 71 17 25 33 16 42 27 33 16 12 27 18 66 22 9 0 28 4 79 27 7 34 65 25 29 68 22 23 32 16 12 27 32 34 42 31 33 34 42 6 24 4 12 46 0 7 34 22 27 29 19 65 31 29 66 22 122
1,0 1 2 120 37 68 59 31 11 52 57 31 30 62 59 31 14 56 57 31 32 19 59 31 15 4 57 31 33 34 59 31 18 68 57 31 24 68 59 31 20 16 57 31 26 41 59 31 0 1 41 57 31 28 68 59 31 7 34 57 31 29 66 59 31 10 66 57 31 37 16 42 31 37 60 53 31 11 72 51 31 11 52 73 31 30 52 42 31 30 34 53 31 14 16 51 31 14 41 73 31 32 34 42 31 32 68 53 31 15 68 51 31 15 4 73 31 33 16 42 31 33 21 53 31 18 34 51 31 18 19 73 31 24 72 42 31 24 19 53 31 20 56 51 31 20 52 73 31 26 72 42 31 26 114 53 31 0 1 21 51 31 1 133 73 31 28 21 42 31 28 72 53 31 7 16 51 31 7 62 73 31 29 41 42 31 29 41 53 31 10 68 51 31 10 16 73 31 37 16 12 31 37 60 51 31 11 62 42 31 11 19 53 31 30 21 12 31 30 52 51 31 14 19 42 31 14 56 53 31 32 16 12 31 32 52 51 31 15 4 42 31 15 19 53 25 33 34 12 31 33 4 51 31 18 41 42 31 18 34 53 31 24 21 12 31 24 4 51 31 20 62 42 31 20 34 53 25 26 56 12 31 26 21 51 31 0 1 52 42 31 1 19 53 31 28 34 12 31 28 21 51 31 7 34 42 31 7 41 53 31 29 16 12 31 29 41 51 31 10 34 42 31 10 68 53 31 37 34 63 27 11 56 12 27 11 16 63 154
